Fecha,Hora,Parque La Granja-Sta Cruz de TF DD (Grd),Flag,Parque La Granja-Sta Cruz de TF VV (m/s),Flag,Parque La Granja-Sta Cruz de TF TMP (ºC),Flag,Parque La Granja-Sta Cruz de TF HR (%),Flag,Parque La Granja-Sta Cruz de TF PRB (mb),Flag
30-06-2015,24:00,181,V,2.2,V,22.4,V,,N,1005,V
01-07-2015,24:00,221,V,1.4,V,23.2,V,,N,1005,V
02-07-2015,24:00,159,V,0.8,V,22.7,V,,N,1007,V
03-07-2015,24:00,293,V,1.6,V,22.4,V,,N,1007,V
04-07-2015,24:00,271,V,1.4,V,22.2,V,,N,1007,V
05-07-2015,24:00,271,V,1.7,V,23.9,V,,N,1004,V
06-07-2015,24:00,247,V,1.7,V,24.5,V,,N,1001,V
07-07-2015,24:00,178,V,2.1,V,25.5,V,,N,1002,V
08-07-2015,24:00,181,V,1.7,V,25.8,V,,N,1003,V
09-07-2015,24:00,268,V,0.2,V,25.3,V,,N,1005,V
10-07-2015,24:00,133,V,1.1,V,26,V,,N,1007,V
11-07-2015,24:00,160,V,2.1,V,24.9,V,,N,1007,V
12-07-2015,24:00,225,V,1.7,V,24.8,V,,N,1006,V
13-07-2015,24:00,296,V,2,V,25,V,,N,1004,V
14-07-2015,24:00,269,V,0.7,V,27.3,V,,N,1003,V
15-07-2015,24:00,183,V,1.5,V,28.9,V,,N,1002,V
16-07-2015,24:00,177,V,1.7,V,25.6,V,,N,1003,V
17-07-2015,24:00,178,V,1.7,V,24.3,V,,N,1005,V
18-07-2015,24:00,246,V,0.8,V,24.3,V,,N,1007,V
19-07-2015,24:00,230,V,2.2,V,24,V,,N,1007,V
20-07-2015,24:00,274,V,2.8,V,24.1,V,,N,1003,V
21-07-2015,24:00,311,V,3.1,V,24.2,V,,N,1001,V
22-07-2015,24:00,294,V,2.2,V,25.5,V,,N,1003,V
23-07-2015,24:00,270,V,1.8,V,27.6,V,,N,1004,V
24-07-2015,24:00,114,V,2.4,V,26.2,V,,N,1005,V
25-07-2015,24:00,135,V,1.8,V,24.9,V,,N,1005,V
26-07-2015,24:00,290,V,1.6,V,24.4,V,,N,1005,V
27-07-2015,24:00,247,V,1.1,V,24.4,V,,N,1004,V
28-07-2015,24:00,268,V,1.1,V,25.1,V,,N,1003,V
29-07-2015,24:00,245,V,1.1,V,24.3,V,,N,1004,V
30-07-2015,24:00,290,V,2.2,V,24,V,,N,1004,V
31-07-2015,24:00,246,V,2,V,24.2,V,,N,1003,V
01-08-2015,24:00,178,V,1.6,V,24,V,,N,1003,V
02-08-2015,24:00,161,V,1.9,V,23.3,V,,N,1004,V
03-08-2015,24:00,292,V,1,V,23.4,V,,N,1006,V
04-08-2015,24:00,272,V,0.5,V,24,V,,N,1005,V
05-08-2015,24:00,270,V,2,V,24.5,V,,N,1002,V
06-08-2015,24:00,250,V,1.2,V,24.6,V,,N,1001,V
07-08-2015,24:00,252,V,1.4,V,25.3,V,,N,1000,V
