Fecha,Hora,Parque La Granja-Sta Cruz de TF SO2 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF CO (mg/m³),Flag,Parque La Granja-Sta Cruz de TF NO2 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF PM10 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF NOX (µg/m³),Flag
03-06-2015,24:00,2,V,0.4,V,11,V,,N,11,V
04-06-2015,24:00,3,V,0.4,V,5,V,,N,5,V
05-06-2015,24:00,2,V,0.4,V,2,V,,N,3,V
06-06-2015,24:00,2,V,0.4,V,2,V,,N,4,V
07-06-2015,24:00,2,V,0.4,V,2,V,,N,3,V
08-06-2015,24:00,2,V,0.4,V,5,V,,N,9,V
09-06-2015,24:00,2,V,0.4,V,9,V,,N,14,V
10-06-2015,24:00,2,V,0.4,V,9,V,,N,15,V
11-06-2015,24:00,4,V,0.4,V,16,V,,N,23,V
12-06-2015,24:00,4,V,0.4,V,18,V,,N,26,V
13-06-2015,24:00,3,V,0.4,V,12,V,,N,17,V
14-06-2015,24:00,2,V,0.3,V,7,V,,N,9,V
15-06-2015,24:00,2,V,0.4,V,9,V,,N,14,V
16-06-2015,24:00,2,V,0.4,V,12,V,,N,17,V
17-06-2015,24:00,2,V,0.4,V,9,V,,N,14,V
18-06-2015,24:00,3,V,0.4,V,13,V,,N,20,V
19-06-2015,24:00,2,V,0.4,V,13,V,,N,19,V
20-06-2015,24:00,4,V,0.4,V,19,V,,N,25,V
21-06-2015,24:00,4,V,0.4,V,14,V,,N,18,V
22-06-2015,24:00,2,V,0.4,V,9,V,,N,13,V
23-06-2015,24:00,2,V,0.4,V,7,V,,N,12,V
24-06-2015,24:00,2,V,0.4,V,9,V,,N,14,V
25-06-2015,24:00,2,V,0.4,V,10,V,,N,16,V
26-06-2015,24:00,2,V,0.4,V,7,V,,N,12,V
27-06-2015,24:00,2,V,0.4,V,6,V,,N,10,V
28-06-2015,24:00,4,V,0.4,V,16,V,,N,23,V
29-06-2015,24:00,4,V,0.5,V,35,V,,N,45,V
30-06-2015,24:00,6,V,0.5,V,25,V,,N,36,V
01-07-2015,24:00,3,V,0.4,V,15,V,,N,23,V
02-07-2015,24:00,2,V,0.4,V,18,V,,N,27,V
03-07-2015,24:00,2,V,0.4,V,13,V,,N,20,V
04-07-2015,24:00,3,V,0.4,V,11,V,,N,16,V
05-07-2015,24:00,2,V,0.4,V,8,V,,N,13,V
06-07-2015,24:00,2,V,0.4,V,20,V,,N,28,V
07-07-2015,24:00,11,V,0.6,V,47,V,,N,76,V
08-07-2015,24:00,9,V,0.5,V,45,V,,N,60,V
09-07-2015,24:00,16,V,0.5,V,58,V,,N,94,V
10-07-2015,24:00,11,V,0.6,V,42,V,,N,84,V
11-07-2015,24:00,3,V,0.4,V,1,V,,N,12,V
12-07-2015,24:00,2,V,0.4,V,1,V,,N,11,V
13-07-2015,24:00,4,V,0.4,V,1,V,,N,12,V
14-07-2015,24:00,7,V,0.5,V,2,V,,N,12,V
15-07-2015,24:00,7,V,0.4,V,26,V,,N,32,V
