Fecha,Hora,"Parque La Granja-Sta Cruz de TF PM2,5 (µg/m³)",Flag,Parque La Granja-Sta Cruz de TF O3 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF TOL (µg/m³),Flag,Parque La Granja-Sta Cruz de TF BEN (µg/m³),Flag,Parque La Granja-Sta Cruz de TF XIL (µg/m³),Flag
01-11-2015,24:00,2,V,73,V,0.1,V,0.2,V,0.2,V
02-11-2015,24:00,2,V,66,V,0.1,V,0.2,V,0.2,V
03-11-2015,24:00,2,V,53,V,0.5,V,0.6,V,1.2,V
04-11-2015,24:00,2,V,42,V,0.4,V,0.5,V,0.9,V
05-11-2015,24:00,2,V,41,V,0.5,V,0.5,V,1.1,V
06-11-2015,24:00,2,V,36,V,0.6,V,0.4,V,1.3,V
07-11-2015,24:00,3,V,39,V,0.2,V,0.3,V,0.5,V
08-11-2015,24:00,3,V,44,V,0.2,V,0.2,V,0.4,V
09-11-2015,24:00,22,V,25,V,1.6,V,0.9,V,3.7,V
10-11-2015,24:00,12,V,29,V,0.8,V,0.6,V,1.9,V
11-11-2015,24:00,12,V,24,V,0.6,V,0.6,V,1.3,V
12-11-2015,24:00,12,V,31,V,0.6,V,0.7,V,1.4,V
13-11-2015,24:00,11,V,41,V,0.4,V,0.6,V,0.9,V
14-11-2015,24:00,9,V,45,V,0.6,V,0.7,V,1.3,V
15-11-2015,24:00,8,V,46,V,0.5,V,0.6,V,1,V
16-11-2015,24:00,9,V,36,V,0.5,V,0.5,V,1.2,V
17-11-2015,24:00,6,V,52,V,0.3,V,0.3,V,0.5,V
18-11-2015,24:00,9,V,61,V,0.2,V,0.4,V,0.5,V
19-11-2015,24:00,10,V,52,V,0.2,V,0.3,V,0.5,V
20-11-2015,24:00,7,V,47,V,0.1,V,0.1,V,0.1,V
21-11-2015,24:00,6,V,64,V,0.1,V,0.1,V,0.1,V
22-11-2015,24:00,3,V,74,V,0.1,V,0.1,V,0.1,V
23-11-2015,24:00,2,V,77,V,0.1,V,0.1,V,0.1,V
24-11-2015,24:00,3,V,76,V,0.1,V,0.2,V,0.1,V
25-11-2015,24:00,3,V,69,V,0.1,V,0.3,V,0.2,V
26-11-2015,24:00,3,V,70,V,0.2,V,0.3,V,0.4,V
27-11-2015,24:00,3,V,76,V,0.1,V,0.2,V,0.2,V
28-11-2015,24:00,4,V,60,V,0.1,V,0.2,V,0.3,V
29-11-2015,24:00,4,V,63,V,0.1,V,0.3,V,0.2,V
30-11-2015,24:00,6,V,45,V,0.4,V,0.6,V,0.8,V
01-12-2015,24:00,15,V,45,V,0.4,V,0.6,V,1,V
02-12-2015,24:00,11,V,50,V,0.6,V,0.7,V,1.4,V
03-12-2015,24:00,24,V,50,V,0.5,V,0.4,V,1,V
04-12-2015,24:00,20,V,39,V,0.6,V,0.6,V,1.3,V
05-12-2015,24:00,6,V,35,V,0.5,V,0.6,V,1.2,V
06-12-2015,24:00,6,V,50,V,0.4,V,0.4,V,0.8,V
07-12-2015,24:00,8,V,25,V,0.6,V,0.6,V,1.5,V
08-12-2015,24:00,7,V,11,V,0.2,V,0.3,V,0.5,V
09-12-2015,24:00,8,V,12,V,0.5,V,0.6,V,1.1,V
10-12-2015,24:00,10,V,13,V,2.3,V,0.4,V,5.3,V
11-12-2015,24:00,9,V,13,V,2.8,V,0.6,V,6.3,V
12-12-2015,24:00,10,V,14,V,0.4,V,0.5,V,0.9,V
13-12-2015,24:00,16,V,12,V,0.4,V,0.6,V,0.9,V
14-12-2015,24:00,18,V,9,V,0.9,V,0.9,V,2,V
15-12-2015,24:00,21,V,8,V,1.3,V,0.7,V,3,V
16-12-2015,24:00,20,V,11,V,1.3,V,0.6,V,3,V
17-12-2015,24:00,16,V,9,V,4.4,V,0.9,V,10.1,V
18-12-2015,24:00,11,V,13,V,3.1,V,1.2,V,7,V
19-12-2015,24:00,7,V,25,V,0.9,V,0.8,V,2.1,V
20-12-2015,24:00,5,V,38,V,0.2,V,0.3,V,0.3,V
21-12-2015,24:00,3,V,40,V,0.2,V,0.3,V,0.3,V
22-12-2015,24:00,7,V,22,V,0.4,V,0.5,V,0.9,V
23-12-2015,24:00,7,V,21,V,0.7,V,0.7,V,1.5,V
24-12-2015,24:00,7,V,30,V,0.4,V,0.5,V,0.9,V
25-12-2015,24:00,53,V,31,V,0.4,V,0.7,V,0.9,V
26-12-2015,24:00,69,V,38,V,0.2,V,0.7,V,0.5,V
27-12-2015,24:00,24,V,37,V,0.1,V,0.3,V,0.2,V
28-12-2015,24:00,3,V,33,V,0.2,V,0.4,V,0.5,V
29-12-2015,24:00,7,V,20,V,0.7,V,0.7,V,1.6,V
30-12-2015,24:00,7,V,32,V,0.6,V,0.5,V,1.3,V
31-12-2015,24:00,8,V,29,V,0.4,V,0.5,V,0.8,V
