Fecha,Hora,"Parque La Granja-Sta Cruz de TF PM2,5 (µg/m³)",Flag,Parque La Granja-Sta Cruz de TF CO (mg/m³),Flag,Parque La Granja-Sta Cruz de TF BEN (µg/m³),Flag,Parque La Granja-Sta Cruz de TF TOL (µg/m³),Flag,Parque La Granja-Sta Cruz de TF XIL (µg/m³),Flag
06-07-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.1,V
07-07-2016,24:00,7,V,0.3,V,0.1,V,0.1,V,0.1,V
08-07-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.2,V
09-07-2016,24:00,4,V,0.3,V,0.2,V,0.1,V,0.2,V
10-07-2016,24:00,4,V,0.3,V,0.4,V,0.3,V,0.6,V
11-07-2016,24:00,2,V,0.3,V,0.1,V,0.1,V,0.1,V
12-07-2016,24:00,3,V,0.6,V,0.1,V,0.1,V,0.1,V
13-07-2016,24:00,4,V,0.4,V,0.2,V,0.1,V,0.1,V
14-07-2016,24:00,4,V,0.3,V,0.2,V,0.1,V,0.1,V
15-07-2016,24:00,5,V,0.4,V,0.1,V,0.1,V,0.1,V
16-07-2016,24:00,5,V,0.4,V,0.1,V,0.1,V,0.1,V
17-07-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.1,V
18-07-2016,24:00,4,V,0.3,V,0.1,V,0.1,V,0.1,V
19-07-2016,24:00,5,V,0.3,V,0.1,V,0.1,V,0.1,V
20-07-2016,24:00,7,V,0.5,V,0.4,V,0.2,V,0.3,V
21-07-2016,24:00,9,V,0.5,V,0.2,V,0.1,V,0.1,V
22-07-2016,24:00,5,V,0.4,V,0.2,V,0.1,V,0.1,V
23-07-2016,24:00,3,V,0.2,V,0.2,V,0.1,V,0.1,V
24-07-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.1,V
25-07-2016,24:00,6,V,0.6,V,0.5,V,0.1,V,0.1,V
26-07-2016,24:00,5,V,0.5,V,0.5,V,0.5,V,1.1,V
27-07-2016,24:00,6,V,0.6,V,0.9,V,0.7,V,1.7,V
28-07-2016,24:00,5,V,0.5,V,0.1,V,0.2,V,0.2,V
29-07-2016,24:00,2,V,0.6,V,0.2,V,0.2,V,0.3,V
30-07-2016,24:00,2,V,0.5,V,0.1,V,0.1,V,0.2,V
31-07-2016,24:00,4,V,0.5,V,0.1,V,0.1,V,0.1,V
01-08-2016,24:00,,N,,N,,N,,N,,N
02-08-2016,24:00,,N,,N,,N,,N,,N
03-08-2016,24:00,3,V,0.5,V,0.1,V,0.1,V,0.1,V
04-08-2016,24:00,4,V,0.6,V,0.2,V,0.2,V,0.5,V
05-08-2016,24:00,7,V,0.6,V,0.4,V,0.5,V,1.2,V
06-08-2016,24:00,3,V,0.5,V,0.4,V,0.4,V,0.8,V
07-08-2016,24:00,3,V,0.5,V,0.3,V,0.3,V,0.6,V
08-08-2016,24:00,4,V,0.6,V,0.3,V,0.2,V,0.4,V
09-08-2016,24:00,7,V,0.6,V,0.7,V,0.7,V,1.6,V
10-08-2016,24:00,6,V,0.5,V,0.7,V,0.7,V,1.7,V
11-08-2016,24:00,6,V,0.5,V,0.6,V,0.5,V,1.1,V
12-08-2016,24:00,7,V,0.6,V,0.4,V,0.3,V,0.6,V
13-08-2016,24:00,7,V,0.4,V,0.1,V,0.1,V,0.2,V
14-08-2016,24:00,7,V,0.5,V,0.1,V,0.1,V,0.1,V
15-08-2016,24:00,5,V,0.4,V,0.1,V,0.1,V,0.1,V
16-08-2016,24:00,6,V,0.4,V,0.2,V,0.1,V,0.2,V
17-08-2016,24:00,6,V,0.4,V,0.4,V,0.3,V,0.6,V
18-08-2016,24:00,4,V,0.4,V,0.4,V,0.4,V,0.8,V
19-08-2016,24:00,4,V,0.4,V,0.2,V,0.2,V,0.5,V
20-08-2016,24:00,3,V,0.4,V,0.1,V,0.1,V,0.2,V
21-08-2016,24:00,2,V,0.4,V,0.1,V,0.1,V,0.2,V
22-08-2016,24:00,3,V,0.5,V,0.4,V,0.4,V,0.9,V
23-08-2016,24:00,4,V,0.5,V,0.8,V,0.9,V,2,V
24-08-2016,24:00,7,V,0.3,V,0.2,V,0.2,V,0.4,V
25-08-2016,24:00,3,V,0.4,V,0.1,V,0.1,V,0.1,V
26-08-2016,24:00,3,V,0.4,V,0.1,V,0.1,V,0.2,V
27-08-2016,24:00,3,V,0.4,V,0.2,V,0.1,V,0.3,V
28-08-2016,24:00,4,V,0.5,V,0.5,V,0.3,V,0.8,V
29-08-2016,24:00,7,V,0.5,V,1,V,0.9,V,2,V
30-08-2016,24:00,8,V,0.5,V,1.1,V,1.3,V,3,V
31-08-2016,24:00,5,V,0.4,V,0.2,V,0.3,V,0.6,V
01-09-2016,24:00,4,V,0.4,V,0.2,V,0.1,V,0.3,V
02-09-2016,24:00,3,V,0.4,V,0.2,V,0.2,V,0.3,V
03-09-2016,24:00,3,V,0.4,V,0.1,V,0.1,V,0.2,V
04-09-2016,24:00,4,V,0.3,V,0.1,V,0.1,V,0.1,V
05-09-2016,24:00,4,V,0.4,V,0.1,V,0.1,V,0.2,V
06-09-2016,24:00,6,V,0.4,V,0.2,V,0.3,V,0.6,V
07-09-2016,24:00,5,V,0.4,V,0.4,V,0.4,V,0.9,V
08-09-2016,24:00,6,V,0.5,V,0.4,V,0.5,V,1.1,V
09-09-2016,24:00,3,V,0.4,V,0.3,V,0.3,V,0.6,V
10-09-2016,24:00,2,V,0.4,V,0.2,V,0.1,V,0.1,V
11-09-2016,24:00,2,V,0.4,V,0.1,V,0.1,V,0.1,V
12-09-2016,24:00,2,V,0.4,V,0.3,V,0.2,V,0.3,V
13-09-2016,24:00,2,V,0.4,V,0.2,V,0.1,V,0.3,V
14-09-2016,24:00,3,V,0.4,V,0.2,V,0.1,V,0.2,V
15-09-2016,24:00,3,V,0.4,V,0.1,V,0.1,V,0.1,V
16-09-2016,24:00,2,V,0.4,V,0.1,V,0.1,V,0.1,V
17-09-2016,24:00,2,V,0.3,V,0.1,V,0.1,V,0.1,V
18-09-2016,24:00,2,V,0.4,V,0.1,V,0.1,V,0.1,V
19-09-2016,24:00,3,V,0.4,V,0.2,V,0.2,V,0.3,V
20-09-2016,24:00,3,V,0.4,V,0.1,V,0.1,V,0.2,V
21-09-2016,24:00,3,V,0.4,V,0.2,V,0.2,V,0.3,V
22-09-2016,24:00,3,V,0.4,V,0.2,V,1.3,V,3,V
23-09-2016,24:00,4,V,0.4,V,0.1,V,0.1,V,0.2,V
24-09-2016,24:00,2,V,0.4,V,0.1,V,0.1,V,0.1,V
25-09-2016,24:00,2,V,0.4,V,0.1,V,0.1,V,0.1,V
26-09-2016,24:00,4,V,0.4,V,0.1,V,0.1,V,0.2,V
27-09-2016,24:00,3,V,0.5,V,0.4,V,0.4,V,1,V
28-09-2016,24:00,5,V,0.4,V,0.3,V,0.3,V,0.6,V
29-09-2016,24:00,10,V,0.3,V,,N,,N,,N
30-09-2016,24:00,2,V,0.2,V,,N,,N,,N
01-10-2016,24:00,3,V,0.3,V,,N,,N,,N
02-10-2016,24:00,2,V,0.3,V,,N,,N,,N
03-10-2016,24:00,3,V,0.3,V,,N,,N,,N
04-10-2016,24:00,4,V,0.3,V,,N,,N,,N
05-10-2016,24:00,4,V,0.4,V,,N,,N,,N
06-10-2016,24:00,5,V,0.4,V,,N,,N,,N
07-10-2016,24:00,,N,0.4,V,,N,,N,,N
08-10-2016,24:00,,N,0.3,V,,N,,N,,N
09-10-2016,24:00,,N,0.3,V,,N,,N,,N
10-10-2016,24:00,,N,0.4,V,,N,,N,,N
11-10-2016,24:00,,N,0.4,V,,N,,N,,N
12-10-2016,24:00,,N,0.3,V,,N,,N,,N
13-10-2016,24:00,,N,0.4,V,,N,,N,,N
14-10-2016,24:00,,N,0.4,V,,N,,N,,N
15-10-2016,24:00,,N,0.4,V,,N,,N,,N
16-10-2016,24:00,,N,0.4,V,,N,,N,,N
17-10-2016,24:00,,N,0.4,V,,N,,N,,N
18-10-2016,24:00,,N,0.5,V,,N,,N,,N
19-10-2016,24:00,,N,0.4,V,,N,,N,,N
20-10-2016,24:00,,N,0.4,V,,N,,N,,N
21-10-2016,24:00,,N,0.4,V,,N,,N,,N
22-10-2016,24:00,,N,0.3,V,,N,,N,,N
23-10-2016,24:00,,N,0.3,V,,N,,N,,N
24-10-2016,24:00,,N,0.3,V,,N,,N,,N
25-10-2016,24:00,,N,0.5,V,,N,,N,,N
26-10-2016,24:00,,N,0.4,V,,N,,N,,N
27-10-2016,24:00,,N,0.3,V,,N,,N,,N
28-10-2016,24:00,,N,0.4,V,,N,,N,,N
29-10-2016,24:00,,N,0.3,V,,N,,N,,N
30-10-2016,24:00,,N,0.3,V,,N,,N,,N
31-10-2016,24:00,,N,0.3,V,,N,,N,,N
01-11-2016,24:00,,N,0.3,V,,N,,N,,N
02-11-2016,24:00,,N,0.3,V,,N,,N,,N
03-11-2016,24:00,,N,,N,,N,,N,,N
04-11-2016,24:00,,N,,N,,N,,N,,N
05-11-2016,24:00,,N,0.5,V,,N,,N,,N
06-11-2016,24:00,,N,0.5,V,,N,,N,,N
07-11-2016,24:00,,N,0.4,V,,N,,N,,N
08-11-2016,24:00,,N,0.5,V,,N,,N,,N
09-11-2016,24:00,,N,0.4,V,,N,,N,,N
10-11-2016,24:00,,N,0.4,V,,N,,N,,N
11-11-2016,24:00,,N,0.4,V,,N,,N,,N
12-11-2016,24:00,,N,0.4,V,,N,,N,,N
13-11-2016,24:00,,N,0.4,V,,N,,N,,N
14-11-2016,24:00,,N,0.4,V,,N,,N,,N
15-11-2016,24:00,,N,0.4,V,,N,,N,,N
16-11-2016,24:00,,N,0.3,V,,N,,N,,N
17-11-2016,24:00,,N,,N,,N,,N,,N
18-11-2016,24:00,,N,,N,,N,,N,,N
19-11-2016,24:00,,N,0.3,V,,N,,N,,N
20-11-2016,24:00,,N,0.2,V,,N,,N,,N
21-11-2016,24:00,,N,0.3,V,,N,,N,,N
